	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
744	Ntr-C	MXAN_3333	Variable			Ntr-C activators--MXAN_3333--Plate' pictures--AG_335-1%A-48h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3333/Plate' pictures/AG_335-1%A-48h	True	12
745	Ntr-C	MXAN_3333	Variable			Ntr-C activators--MXAN_3333--Plate' pictures--AG_335-1.5%A-120h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3333/Plate' pictures/AG_335-1.5%A-120h	True	12
746	Ntr-C	MXAN_3333	Variable			Ntr-C activators--MXAN_3333--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3333/test	True	0
747	Ntr-C	MXAN_3381	Variable	10.11.11	mic3	Ntr-C activators--MXAN_3381--AG_302-mic3-10.11.11-24h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/AG_302-mic3-10.11.11-24h	True	8
748	Ntr-C	MXAN_3381	Variable	10.24.11	mic8	Ntr-C activators--MXAN_3381--MXAN_3381-mic8-10.24.11-24h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/MXAN_3381-mic8-10.24.11-24h	True	0
749	Ntr-C	MXAN_3381	Variable	10.24.11	mic7	Ntr-C activators--MXAN_3381--nla2-mic7-10.24.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/nla2-mic7-10.24.11	True	0
750	Ntr-C	MXAN_3381	Variable			Ntr-C activators--MXAN_3381--plates--nla2-1%A-24h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/plates/nla2-1%A-24h	True	4
751	Ntr-C	MXAN_3381	Variable			Ntr-C activators--MXAN_3381--plates--nla2-1%A-48h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/plates/nla2-1%A-48h	True	4
752	Ntr-C	MXAN_3381	Variable			Ntr-C activators--MXAN_3381--plates--nla2-1%A-6days	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/plates/nla2-1%A-6days	True	4
753	Ntr-C	MXAN_3381	Variable			Ntr-C activators--MXAN_3381--plates--nla2-1.5%A-6days	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/plates/nla2-1.5%A-6days	True	4
754	Ntr-C	MXAN_3381	Variable			Ntr-C activators--MXAN_3381--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3381/test	True	0
755	Ntr-C	MXAN_3418	LWT	09.07.11	mic6	Ntr-C activators--MXAN_3418--AG_317-1.5%A-mic6-9.7.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3418/AG_317-1.5%A-mic6-9.7.11	True	8
756	Ntr-C	MXAN_3418	LWT	01.26.12	mic6	Ntr-C activators--MXAN_3418--MXAN_3418-mic6-1.26.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3418/MXAN_3418-mic6-1.26.12	True	0
757	Ntr-C	MXAN_3418	LWT			Ntr-C activators--MXAN_3418--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3418/test	True	0
758	Ntr-C	MXAN_3555		06.27.11	mic1	Ntr-C activators--MXAN_3555--MXAN_3555-mic1-6.27.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3555/MXAN_3555-mic1-6.27.11-2X	True	6
759	Ntr-C	MXAN_3555		06.30.11	mic7	Ntr-C activators--MXAN_3555--MXAN_3555-mic7-6.30.11-1.5min	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3555/MXAN_3555-mic7-6.30.11-1.5min	True	4
760	Ntr-C	MXAN_3555				Ntr-C activators--MXAN_3555--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3555/test	True	0
761	Ntr-C	MXAN_3692	No aggregation			Ntr-C activators--MXAN_3692	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3692	True	4
762	Ntr-C	MXAN_3692	No aggregation	01.06.17	mic3	Ntr-C activators--MXAN_3692--MXAN_3692-nla18-mic3-1.6.17	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3692/MXAN_3692-nla18-mic3-1.6.17	True	0
763	Ntr-C	MXAN_3692	No aggregation			Ntr-C activators--MXAN_3692--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3692/test	True	0
764	Ntr-C	MXAN_3811	LWT	06.24.11	mic3	Ntr-C activators--MXAN_3811--AG_313-mic3-6.24.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/AG_313-mic3-6.24.11-2X	True	10
765	Ntr-C	MXAN_3811	LWT	06.29.11	mic3	Ntr-C activators--MXAN_3811--AG_313-mic3-6.29.11-every1.5min.36h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/AG_313-mic3-6.29.11-every1.5min.36h	True	8
766	Ntr-C	MXAN_3811	LWT	07.26.11	mic1	Ntr-C activators--MXAN_3811--AG_313_TAN--AG_313_TAN-mic1-7.26.2011	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/AG_313_TAN/AG_313_TAN-mic1-7.26.2011	True	8
767	Ntr-C	MXAN_3811	LWT	07.27.11	mic5	Ntr-C activators--MXAN_3811--AG_313_YELLOW--AG_313_YELLOW-mic5-7.27.2011	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/AG_313_YELLOW/AG_313_YELLOW-mic5-7.27.2011	True	12
768	Ntr-C	MXAN_3811	LWT	05.22.12	mic4	Ntr-C activators--MXAN_3811--MXAN_3811-mic4-5.22.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/MXAN_3811-mic4-5.22.12	True	0
769	Ntr-C	MXAN_3811	LWT	05.22.12	mic5	Ntr-C activators--MXAN_3811--MXAN_3811-mic5-5.22.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/MXAN_3811-mic5-5.22.12	True	0
770	Ntr-C	MXAN_3811	LWT	05.22.12	mic7	Ntr-C activators--MXAN_3811--MXAN_3811-mic7-5.22.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/MXAN_3811-mic7-5.22.12	True	0
771	Ntr-C	MXAN_3811	LWT			Ntr-C activators--MXAN_3811--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3811/test	True	0
772	Ntr-C	MXAN_3952		09.16.11	mic2	Ntr-C activators--MXAN_3952--AG_309-mic2-9.16.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3952/AG_309-mic2-9.16.11-2X	True	14
773	Ntr-C	MXAN_3952				Ntr-C activators--MXAN_3952--plates--AG_309-1%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3952/plates/AG_309-1%A	True	12
774	Ntr-C	MXAN_3952				Ntr-C activators--MXAN_3952--plates--AG_309-1.5%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3952/plates/AG_309-1.5%A	True	12
775	Ntr-C	MXAN_3952				Ntr-C activators--MXAN_3952--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3952/test	True	0
776	Ntr-C	MXAN_4042	Pulsatile			Ntr-C activators--MXAN_4042	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042	True	4
777	Ntr-C	MXAN_4042	Pulsatile	09.16.11	mic5	Ntr-C activators--MXAN_4042--AG_306-mic5-9.16.11-4X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042/AG_306-mic5-9.16.11-4X	True	8
778	Ntr-C	MXAN_4042	Pulsatile	09.16.11	mic6	Ntr-C activators--MXAN_4042--AG_306-mic6-9.16.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042/AG_306-mic6-9.16.11-2X	True	10
779	Ntr-C	MXAN_4042	Pulsatile	01.21.14	mic3	Ntr-C activators--MXAN_4042--MXAN_4042-mic3-01.21.14	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042/MXAN_4042-mic3-01.21.14	True	0
780	Ntr-C	MXAN_4042	Pulsatile	01.21.14	mic5	Ntr-C activators--MXAN_4042--MXAN_4042-mic5-01.21.14	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042/MXAN_4042-mic5-01.21.14	True	0
781	Ntr-C	MXAN_4042	Pulsatile			Ntr-C activators--MXAN_4042--plates--AG-306-1.5%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042/plates/AG-306-1.5%A	True	12
782	Ntr-C	MXAN_4042	Pulsatile			Ntr-C activators--MXAN_4042--plates--AG_306-1%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042/plates/AG_306-1%A	True	12
783	Ntr-C	MXAN_4042	Pulsatile			Ntr-C activators--MXAN_4042--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4042/test	True	0
784	Ntr-C	MXAN_4196	No aggregation			Ntr-C activators--MXAN_4196	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4196	True	4
785	Ntr-C	MXAN_4196	No aggregation	01.03.17	mic5	Ntr-C activators--MXAN_4196--MXAN_4196-mic5-01.03.17(looks like actB)	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4196/MXAN_4196-mic5-01.03.17(looks like actB)	True	0
786	Ntr-C	MXAN_4196	No aggregation	01.03.17	mic6	Ntr-C activators--MXAN_4196--MXAN_4196-mic6-01.03.2017	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4196/MXAN_4196-mic6-01.03.2017	True	0
787	Ntr-C	MXAN_4196	No aggregation			Ntr-C activators--MXAN_4196--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4196/test	True	0
788	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--AG_322 Yellow-10X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/AG_322 Yellow-10X	True	14
789	Ntr-C	MXAN_4042	Pulsatile	09.16.11	mic4	Ntr-C activators--MXAN_4240--MXAN_4042-nla6--AG_306-mic4-9.16.11-4X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4042-nla6/AG_306-mic4-9.16.11-4X	True	8
790	Ntr-C	MXAN_4042	Pulsatile	09.16.11	mic5	Ntr-C activators--MXAN_4240--MXAN_4042-nla6--AG_306-mic5-9.16.11-4X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4042-nla6/AG_306-mic5-9.16.11-4X	True	8
791	Ntr-C	MXAN_4042	Pulsatile	09.16.11	mic6	Ntr-C activators--MXAN_4240--MXAN_4042-nla6--AG_306-mic6-9.16.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4042-nla6/AG_306-mic6-9.16.11-2X	True	10
792	Ntr-C	MXAN_4042	Pulsatile			Ntr-C activators--MXAN_4240--MXAN_4042-nla6--plates--AG-306-1.5%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4042-nla6/plates/AG-306-1.5%A	True	12
793	Ntr-C	MXAN_4042	Pulsatile			Ntr-C activators--MXAN_4240--MXAN_4042-nla6--plates--AG_306-1%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4042-nla6/plates/AG_306-1%A	True	12
794	Ntr-C	MXAN_4240	LWT		mic8	Ntr-C activators--MXAN_4240--MXAN_4240-mic_8	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240-mic_8	True	0
795	Ntr-C	MXAN_4240	LWT	09.20.11	mic1	Ntr-C activators--MXAN_4240--MXAN_4240_Tan(AG_322)--AG_322_Tan-mic1-9.20.11-4X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_Tan(AG_322)/AG_322_Tan-mic1-9.20.11-4X	True	8
796	Ntr-C	MXAN_4240	LWT	09.20.11	mic7	Ntr-C activators--MXAN_4240--MXAN_4240_Tan(AG_322)--AG_322_Tan-mic7-9.20.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_Tan(AG_322)/AG_322_Tan-mic7-9.20.11-2X	True	10
797	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--MXAN_4240_Tan(AG_322)--plates--AG_322_Tan-1%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_Tan(AG_322)/plates/AG_322_Tan-1%A	True	12
798	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--MXAN_4240_Tan(AG_322)--plates--AG_322_Tan-1%A-48h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_Tan(AG_322)/plates/AG_322_Tan-1%A-48h	True	12
799	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--MXAN_4240_Tan(AG_322)--plates--AG_322_Tan-1%A-72h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_Tan(AG_322)/plates/AG_322_Tan-1%A-72h	True	12
800	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--MXAN_4240_Tan(AG_322)--plates--AG_322_Tan-1%A-96h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_Tan(AG_322)/plates/AG_322_Tan-1%A-96h	True	12
801	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--MXAN_4240_Tan(AG_322)--plates--AG_322_Tan-1.5%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_Tan(AG_322)/plates/AG_322_Tan-1.5%A	True	12
802	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--MXAN_4240_YELLOW(AG_322)--AG_322-Yellow-1%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_YELLOW(AG_322)/AG_322-Yellow-1%A	True	12
803	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--MXAN_4240_YELLOW(AG_322)--AG_322-Yellow-1.5%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_YELLOW(AG_322)/AG_322-Yellow-1.5%A	True	12
804	Ntr-C	MXAN_4240	LWT	09.16.11	mic3	Ntr-C activators--MXAN_4240--MXAN_4240_YELLOW(AG_322)--AG_322_Yellow-mic3-9.16.11-4X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_YELLOW(AG_322)/AG_322_Yellow-mic3-9.16.11-4X	True	8
805	Ntr-C	MXAN_4240	LWT	09.16.11	mic7	Ntr-C activators--MXAN_4240--MXAN_4240_YELLOW(AG_322)--AG_322_Yellow-mic7-9.16.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_YELLOW(AG_322)/AG_322_Yellow-mic7-9.16.11-2X	True	10
806	Ntr-C	MXAN_4240	LWT	09.16.11	mic1	Ntr-C activators--MXAN_4240--MXAN_4240_YELLOW(AG_322)--AG_322_YELLOW_mic1-9.16.11-4X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/MXAN_4240_YELLOW(AG_322)/AG_322_YELLOW_mic1-9.16.11-4X	True	8
807	Ntr-C	MXAN_4240	LWT			Ntr-C activators--MXAN_4240--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4240/test	True	0
808	Ntr-C	MXAN_4252	Late normal	06.06.12	mic3	Ntr-C activators--MXAN_4252--MXAN_4252-mic3-06.06.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-mic3-06.06.12	True	0
809	Ntr-C	MXAN_4252	Late normal	06.06.12	mic6	Ntr-C activators--MXAN_4252--MXAN_4252-mic6-06.06.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-mic6-06.06.12	True	0
810	Ntr-C	MXAN_4252	Late normal	06.06.12	mic8	Ntr-C activators--MXAN_4252--MXAN_4252-mic8-06.06.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-mic8-06.06.12	True	0
811	Ntr-C	MXAN_4252	Late normal	04.21.12	mic4	Ntr-C activators--MXAN_4252--MXAN_4252-TPMAgar,10X-mic4-4.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-TPMAgar,10X-mic4-4.21.12	True	2
812	Ntr-C	MXAN_4252	Late normal	04.21.12	mic1	Ntr-C activators--MXAN_4252--MXAN_4252-TPMAgar,2X-mic1-4.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-TPMAgar,2X-mic1-4.21.12	True	2
813	Ntr-C	MXAN_4252	Late normal	04.21.12	mic3	Ntr-C activators--MXAN_4252--MXAN_4252-TPMAgar,4X-mic3-4.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-TPMAgar,4X-mic3-4.21.12	True	0
814	Ntr-C	MXAN_4252	Late normal	04.21.12	mic2	Ntr-C activators--MXAN_4252--MXAN_4252-TPMAgarose,10X-mic2-4.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-TPMAgarose,10X-mic2-4.21.12	True	2
815	Ntr-C	MXAN_4252	Late normal	04.21.12	mic8	Ntr-C activators--MXAN_4252--MXAN_4252-TPMAgarose,2X-mic8-4.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-TPMAgarose,2X-mic8-4.21.12	True	2
816	Ntr-C	MXAN_4252	Late normal	04.21.12	mic6	Ntr-C activators--MXAN_4252--MXAN_4252-TPMAgarose,4X-mic6-4.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/MXAN_4252-TPMAgarose,4X-mic6-4.21.12	True	4
817	Ntr-C	MXAN_4252	Late normal			Ntr-C activators--MXAN_4252--plates--AG_320-1%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/plates/AG_320-1%A	True	12
818	Ntr-C	MXAN_4252	Late normal			Ntr-C activators--MXAN_4252--plates--AG_320-1.5%A	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/plates/AG_320-1.5%A	True	12
819	Ntr-C	MXAN_4252	Late normal			Ntr-C activators--MXAN_4252--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4252/test	True	0
820	Ntr-C	MXAN_4261	LWT	10.25.11	mic7	Ntr-C activators--MXAN_4261--MXAN_4261-mic7-10.25.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4261/MXAN_4261-mic7-10.25.11	True	0
821	Ntr-C	MXAN_4261	LWT	10.25.11	mic8	Ntr-C activators--MXAN_4261--MXAN_4261-mic8-10.25.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4261/MXAN_4261-mic8-10.25.11	True	0
822	Ntr-C	MXAN_4261	LWT			Ntr-C activators--MXAN_4261--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4261/test	True	0
823	Ntr-C	MXAN_4339	LWT	10.31.11	mic7	Ntr-C activators--MXAN_4339--MXAN_4339-mic7-10.31.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4339/MXAN_4339-mic7-10.31.11	True	0
824	Ntr-C	MXAN_4339	LWT	10.31.11	mic8	Ntr-C activators--MXAN_4339--MXAN_4339-mic8-10.31.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4339/MXAN_4339-mic8-10.31.11	True	0
825	Ntr-C	MXAN_4339	LWT			Ntr-C activators--MXAN_4339--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4339/test	True	0
826	Ntr-C	MXAN_4580	Early aggregation	08.21.12	mic3	Ntr-C activators--MXAN_4580--MXAN_4580-mic3-8.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/MXAN_4580-mic3-8.21.12	True	0
827	Ntr-C	MXAN_4580	Early aggregation	08.21.12	mic4	Ntr-C activators--MXAN_4580--MXAN_4580-mic4-8.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/MXAN_4580-mic4-8.21.12	True	0
828	Ntr-C	MXAN_4580	Early aggregation	08.21.12	mic6	Ntr-C activators--MXAN_4580--MXAN_4580-mic6-8.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/MXAN_4580-mic6-8.21.12	True	0
829	Ntr-C	MXAN_4580	Early aggregation	08.21.12	mic7	Ntr-C activators--MXAN_4580--MXAN_4580-mic7-8.21.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/MXAN_4580-mic7-8.21.12	True	0
830	Ntr-C	MXAN_4580	Early aggregation	10.27.11	mic3	Ntr-C activators--MXAN_4580--nla8-mic3-10.27.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/nla8-mic3-10.27.11	True	0
831	Ntr-C	MXAN_4580	Early aggregation	10.27.11	mic7	Ntr-C activators--MXAN_4580--nla8-mic7-10.27.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/nla8-mic7-10.27.11	True	0
832	Ntr-C	MXAN_4580	Early aggregation	10.27.11	mic8	Ntr-C activators--MXAN_4580--nla8-mic8-10.27.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/nla8-mic8-10.27.11	True	0
833	Ntr-C	MXAN_4580	Early aggregation			Ntr-C activators--MXAN_4580--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4580/test	True	0
834	Ntr-C	MXAN_4899	Fall apart	09.29.11	mic5	Ntr-C activators--MXAN_4899--MXAN_4899-mic5-9.29.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/MXAN_4899-mic5-9.29.11	True	0
835	Ntr-C	MXAN_4899	Fall apart	09.29.11	mic6	Ntr-C activators--MXAN_4899--MXAN_4899-mic6-9.29.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/MXAN_4899-mic6-9.29.11	True	0
836	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--AG_336-1%A-120h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/AG_336-1%A-120h	True	12
837	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--AG_336-1%A-24h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/AG_336-1%A-24h	True	12
838	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--AG_336-1%A-24h-second	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/AG_336-1%A-24h-second	True	12
839	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--AG_336-1%A-96h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/AG_336-1%A-96h	True	12
840	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--AG_336-1.5%A-120h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/AG_336-1.5%A-120h	True	12
841	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--AG_336-1.5%A-24h-second	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/AG_336-1.5%A-24h-second	True	12
842	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--nla36-1%A-48h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/nla36-1%A-48h	True	4
843	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--nla36-1%A-72h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/nla36-1%A-72h	True	4
844	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--plates--nla36-1%A-96h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/plates/nla36-1%A-96h	True	4
845	Ntr-C	MXAN_4899	Fall apart			Ntr-C activators--MXAN_4899--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4899/test	True	0
846	Ntr-C	MXAN_4977	LWT	06.27.11	mic3	Ntr-C activators--MXAN_4977--MXAN_4977-mic3-6.27.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4977/MXAN_4977-mic3-6.27.11-2X	True	6
847	Ntr-C	MXAN_4977	LWT	07.01.11	mic3	Ntr-C activators--MXAN_4977--MXAN_4977-mic3-7.1.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4977/MXAN_4977-mic3-7.1.11	True	0
848	Ntr-C	MXAN_4977	LWT	02.13.12	mic6	Ntr-C activators--MXAN_4977--MXAN_4977-mic6-2.13.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4977/MXAN_4977-mic6-2.13.12	True	0
849	Ntr-C	MXAN_4977	LWT	02.13.12	mic7	Ntr-C activators--MXAN_4977--MXAN_4977-mic7-2.13.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4977/MXAN_4977-mic7-2.13.12	True	0
850	Ntr-C	MXAN_4977	LWT			Ntr-C activators--MXAN_4977--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4977/test	True	0
851	Ntr-C	MXAN_4983	Variable	08.01.13	mic5	Ntr-C activators--MXAN_4983--MXAN_4983-mic5-08.01.13	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4983/MXAN_4983-mic5-08.01.13	True	0
852	Ntr-C	MXAN_4983	Variable	08.31.11	mic3	Ntr-C activators--MXAN_4983--AG_321-mic3-8.31.11-24h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4983/AG_321-mic3-8.31.11-24h	True	8
853	Ntr-C	MXAN_4983	Variable	08.31.11	mic6	Ntr-C activators--MXAN_4983--AG_321-mic6-8.31.11-24h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4983/AG_321-mic6-8.31.11-24h	True	8
