	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
556	ECF	MXAN_7454	LWT	11.29.11	mic4	ECF sigma-70 factor--MXAN_7454--MXAN_7454-mic4-11.29.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7454/MXAN_7454-mic4-11.29.11	True	0
557	ECF	MXAN_7454	LWT	11.29.11	mic5	ECF sigma-70 factor--MXAN_7454--MXAN_7454-mic5-11.29.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7454/MXAN_7454-mic5-11.29.11	False	0
558	ECF	MXAN_7454	LWT	11.29.11	mic7	ECF sigma-70 factor--MXAN_7454--MXAN_7454-mic7-11.29.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7454/MXAN_7454-mic7-11.29.11	False	0
559	ECF	MXAN_7454	LWT			ECF sigma-70 factor--MXAN_7454--test	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7454/test	False	0
560	Ntr-C	MXAN_3095	Early aggregation	09.20.11	mic5	Ntr-C activators--MXAN_3095--AG_314-Yellow-mic5-9.20.11-4X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/AG_314-Yellow-mic5-9.20.11-4X	True	8
561	Ntr-C	MXAN_3095	Early aggregation	09.20.11	mic6	Ntr-C activators--MXAN_3095--AG_314-Yellow-mic6-9.20.11-2X	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/AG_314-Yellow-mic6-9.20.11-2X	True	10
562	Ntr-C	MXAN_3095	Early aggregation	06.05.12	mic7	Ntr-C activators--MXAN_3095--MXAN_3095-mic-7-06.05.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/MXAN_3095-mic-7-06.05.12	True	0
563	Ntr-C	MXAN_3095	Early aggregation			Ntr-C activators--MXAN_3095--plate's pictures--AG_314-Yellow-1%A-120h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/plate's pictures/AG_314-Yellow-1%A-120h	True	12
564	Ntr-C	MXAN_3095	Early aggregation			Ntr-C activators--MXAN_3095--plate's pictures--AG_314-Yellow-1%A-48h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/plate's pictures/AG_314-Yellow-1%A-48h	True	12
565	Ntr-C	MXAN_3095	Early aggregation			Ntr-C activators--MXAN_3095--plate's pictures--AG_314-Yellow-1%A-72h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/plate's pictures/AG_314-Yellow-1%A-72h	True	12
566	Ntr-C	MXAN_3095	Early aggregation			Ntr-C activators--MXAN_3095--plate's pictures--AG_314-Yellow-1%A-96h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/plate's pictures/AG_314-Yellow-1%A-96h	True	12
567	Ntr-C	MXAN_3095	Early aggregation			Ntr-C activators--MXAN_3095--plate's pictures--AG_314-Yellow-1.5%A-120h	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/plate's pictures/AG_314-Yellow-1.5%A-120h	True	12
568	Ntr-C	MXAN_3095	Early aggregation			Ntr-C activators--MXAN_3095--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_3095/test	True	0
569	Ntr-C	MXAN_4785	Late normal			Ntr-C activators--MXAN_4785--image_3	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/image_3	True	0
570	Ntr-C	MXAN_4785	Late normal			Ntr-C activators--MXAN_4785--image_4	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/image_4	True	0
571	Ntr-C	MXAN_4785	Late normal			Ntr-C activators--MXAN_4785--image_5	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/image_5	True	0
572	Ntr-C	MXAN_4785	Late normal			Ntr-C activators--MXAN_4785--image_7	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/image_7	True	0
573	Ntr-C	MXAN_4785	Late normal	02.28.12	mic5	Ntr-C activators--MXAN_4785--MXAN_4785-mic5-2.28.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/MXAN_4785-mic5-2.28.12	True	0
574	Ntr-C	MXAN_4785	Late normal	02.28.12	mic6	Ntr-C activators--MXAN_4785--MXAN_4785-mic6-2.28.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/MXAN_4785-mic6-2.28.12	True	0
575	Ntr-C	MXAN_4785	Late normal	02.28.12	mic7	Ntr-C activators--MXAN_4785--MXAN_4785-mic7-2.28.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/MXAN_4785-mic7-2.28.12	True	0
576	Ntr-C	MXAN_4785	Late normal			Ntr-C activators--MXAN_4785--plates	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/plates	True	4
577	Ntr-C	MXAN_4785	Late normal			Ntr-C activators--MXAN_4785--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_4785/test	True	0
578	Ntr-C	MXAN_0116	No aggregation			Ntr-C activators--MXAN_0116	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0116	True	4
579	Ntr-C	MXAN_0116	No aggregation	02.08.12	mic5	Ntr-C activators--MXAN_0116--MXAN_0116-mic5-2.8.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0116/MXAN_0116-mic5-2.8.12	True	0
580	Ntr-C	MXAN_0116	No aggregation	02.08.12	mic6	Ntr-C activators--MXAN_0116--MXAN_0116-mic6-2.8.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0116/MXAN_0116-mic6-2.8.12	True	0
581	Ntr-C	MXAN_0116	No aggregation	02.08.12	mic7	Ntr-C activators--MXAN_0116--MXAN_0116-mic7-2.8.12	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0116/MXAN_0116-mic7-2.8.12	True	0
582	Ntr-C	MXAN_0116	No aggregation			Ntr-C activators--MXAN_0116--test	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0116/test	True	0
583	Ntr-C	MXAN_0172	Fall apart			Ntr-C activators--MXAN_0172	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0172	True	4
584	Ntr-C	MXAN_0172	Fall apart	11.03.11	mic5	Ntr-C activators--MXAN_0172--MXAN_0172-mic5-11.03.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0172/MXAN_0172-mic5-11.03.11	True	0
585	Ntr-C	MXAN_0172	Fall apart	11.03.11	mic6	Ntr-C activators--MXAN_0172--MXAN_0172-mic6-11.03.11	/mnt/SeagateBackup_USB/Mutant_Movies/Ntr-C activators/MXAN_0172/MXAN_0172-mic6-11.03.11	True	0
